School Number,Board Number,School Name,School Type,School Level,Phone Number,School Website
099260,B66206,Centreville Public School,Public,Elementary,613-378-2578,https://centreville.limestone.on.ca/
108499,B66206,Clarendon Central Public School,Public,Elementary,613-479-2264,https://clarendon.limestone.on.ca/
119547,B66206,Collins Bay Public School,Public,Elementary,613-389-0500,http://collinsbay.limestone.on.ca/
170895,B66206,Elginburg & District Public School,Public,Elementary,613-542-8387,http://elginburg.limestone.on.ca/
184284,B66206,Enterprise Public School,Public,Elementary,613-358-2011,http://fcweb.limestone.on.ca/~entpr/
909181,B66206,Ernestown Secondary School,Public,Secondary,613-386-3054,http://ernestownss.limestone.on.ca/
191027,B66206,Fairfield Elementary School,Public,Elementary,613-389-2636,http://fairfield.limestone.on.ca/
911135,B66206,Frontenac Secondary School,Public,Secondary,613-389-2130,http://frontenacss.limestone.on.ca/
218219,B66206,Glenburnie Public School,Public,Elementary,613-542-0633,http://glenburnie.limestone.on.ca/
601342,B66206,Granite Ridge Education Centre Public School,Public,Elementary,613-279-2131,https://grec.limestone.on.ca/
930348,B66206,Granite Ridge Education Centre Secondary School,Public,Secondary,613-279-2131,https://grec.limestone.on.ca/
245909,B66206,Harrowsmith Public School,Public,Elementary,613-372-2026,http://harrowsmith.limestone.on.ca/
281786,B66206,James R Henderson Public School,Public,Elementary,613-389-2330,http://jrhenderson.limestone.on.ca/JR_Henderson/Home.html
514721,B66206,John Graves Simcoe Public School,Public,Elementary,613-544-4087,http://jgsimcoe.limestone.on.ca/
447790,B66206,Joyceville Public School,Public,Elementary,613-542-8488,http://joycevilleps.limestone.on.ca/
254617,B66206,Katarokwi Elementary Learning Centre Elementary Public School,Public,Elementary,613-548-3468,
936740,B66206,Katarokwi Learning Centre,Public,Secondary,613-546-3462,https://limestone.ss16.sharpschool.com/cms/One.aspx?portalId=352782&pageId=639953
931089,B66206,Kingston Secondary School,Public,Secondary,613-544-4811,
920592,B66206,La Salle Secondary School,Public,Secondary,613-546-1737,https://lasalle.limestone.on.ca/
052045,B66206,LaSalle Intermediate School Intermediate School,Public,Elementary,613-546-9733,https://lasalle.limestone.on.ca/
306037,B66206,Lancaster Drive Public School,Public,Elementary,613-634-0470,https://lancaster.limestone.on.ca/
307831,B66206,Land O Lakes Public School,Public,Elementary,613-335-5254,http://www.limestone.on.ca/schools/elementary/lanol_profile
939348,B66206,Limestone Online Secondary School,Public,Secondary,,
962236,B66206,Limestone School of Community Education,Public,Secondary,613-542-7369,http://limestonecommunityed.ca/
321567,B66206,Lord Strathcona Public School,Public,Elementary,613-549-1680,http://lordstrathcona.limestone.on.ca/
322997,B66206,Loughborough Public School,Public,Elementary,613-376-3848,http://loughborough.limestone.on.ca/
924130,B66206,Loyalist Collegiate and Vocational Institute,Public,Secondary,613-546-5575,http://lcvi.limestone.on.ca/
616796,B66206,Marysville Public School,Public,Elementary,613-385-2632,http://marysville.limestone.on.ca/
206199,B66206,Module Vanier,Public,Elementary,613-544-7698,http://vanier.limestone.on.ca/
599271,B66206,Module de l'Acadie,Public,Elementary,613-389-0091,http://acadie.limestone.on.ca/
344149,B66206,Molly Brant Elementary School,Public,Elementary,613-549-4003,https://mollybrant.limestone.on.ca/
927902,B66206,Napanee District Secondary School,Public,Secondary,613-354-3381,http://napaneedss.limestone.on.ca/
384615,B66206,Newburgh Public School,Public,Elementary,613-378-2611,http://fcweb.limestone.on.ca/~NWBGH/
890596,B66206,North Addington Education Centre,Public,Secondary,613-336-8991,http://naec.limestone.on.ca/
403040,B66206,North Addington Education Centre Public School,Public,Elementary,613-336-8991,http://naec.limestone.on.ca/
415421,B66206,Odessa Public School,Public,Elementary,613-386-3022,http://odessa.limestone.on.ca/
441589,B66206,Perth Road Public School,Public,Elementary,613-353-2200,http://perthroad.limestone.on.ca/
449873,B66206,Polson Park Public School,Public,Elementary,613-542-5926,http://polsonpark.limestone.on.ca/
453129,B66206,Prince Charles Public School,Public,Elementary,613-374-2003,https://princecharles.limestone.on.ca/
467553,B66206,R Gordon Sinclair Public School,Public,Elementary,613-389-0267,http://sinclair.limestone.on.ca
483419,B66206,Rideau Heights Public School,Public,Elementary,613-542-6155,http://rideauheights.limestone.on.ca/
483540,B66206,Rideau Public School,Public,Elementary,613-546-5901,http://rideaupublicschool.limestone.on.ca/
505099,B66206,Selby Public School,Public,Elementary,613-388-2670,https://selbyps.limestone.on.ca/
240828,B66206,Southview Public School,Public,Elementary,613-354-5171,https://southview.limestone.on.ca/
538922,B66206,Storrington Public School,Public,Elementary,613-353-2868,https://storrington.limestone.on.ca/
946494,B66206,Sydenham High School,Public,Secondary,613-376-3612,http://sydenhamhs.limestone.on.ca/
544779,B66206,Sydenham Public School,Public,Elementary,613-548-3491,http://sydenhamps.limestone.on.ca/
547891,B66206,Tamworth Elementary School,Public,Elementary,613-379-2317,http://tamworthschool.limestone.on.ca/
551376,B66206,The Prince Charles School,Public,Elementary,613-354-2121,http://theprincecharles.limestone.on.ca/
562289,B66206,Truedell Public School,Public,Elementary,613-389-2560,http://truedell.limestone.on.ca/
263320,B66206,W.J. Holsgrove Public School,Public,Elementary,613-389-0129,http://holsgrove.limestone.on.ca/
591270,B66206,Welborne Avenue Public School,Public,Elementary,613-389-0188,http://welborne.limestone.on.ca/
615625,B66206,Winston Churchill Public School,Public,Elementary,613-542-6441,http://winstonchurchill.limestone.on.ca/
226482,B66206,École Maple Elementary School Public School,Public,Elementary,613-650-5478,https://sirjohna.limestone.on.ca/
688061,B67032,Assumption Separate School,Catholic,Elementary,519-660-2770,https://www.ldcsb.ca/school/ASU/
690406,B67032,Blessed Sacrament Separate School,Catholic,Elementary,519-675-4411,https://www.ldcsb.ca/school/SAC/
695734,B67032,Catholic Central High School,Catholic,Secondary,519-675-4431,www.ldcsb.ca/school/CCH
704253,B67032,Holy Cross Catholic Secondary School,Catholic,Secondary,519-660-2796,https://www.ldcsb.ca/school/HCC/
716294,B67032,Holy Family Elementary School,Catholic,Elementary,519-675-4413,https://www.ldcsb.ca/school/FAL/
704237,B67032,Holy Family School,Catholic,Elementary,519-675-4414,https://www.ldcsb.ca/school/FAW/
718874,B67032,Holy Rosary Separate School,Catholic,Elementary,519-675-4415,https://www.ldcsb.ca/school/ROS/
724513,B67032,John Paul II Catholic Secondary School,Catholic,Secondary,519-675-4432,https://www.ldcsb.ca/school/JP2/
819769,B67032,LDCSB Online School High School,Catholic,Secondary,519-663-2088,
732346,B67032,Monsignor J H O'Neil School,Catholic,Elementary,519-660-2772,https://www.ldcsb.ca/school/ONE/
868698,B67032,Monsignor Morrison Separate School,Catholic,Elementary,519-675-4416,https://www.ldcsb.ca/school/MOR/
733032,B67032,Mother Teresa Catholic Secondary School,Catholic,Secondary,519-675-4433,https://www.ldcsb.ca/school/MTS/
737593,B67032,Notre Dame Separate School,Catholic,Elementary,519-660-2773,https://www.ldcsb.ca/school/DAM/
741884,B67032,Our Lady Immaculate School,Catholic,Elementary,519-660-2774,https://www.ldcsb.ca/school/IMM/
745138,B67032,Our Lady of Lourdes Separate School,Catholic,Elementary,519-660-2775,https://www.ldcsb.ca/school/LOU/
752827,B67032,Regina Mundi College,Catholic,Secondary,519-660-2797,https://www.ldcsb.ca/school/RMC/
757225,B67032,Sacred Heart Separate School,Catholic,Elementary,519-660-2776,https://www.ldcsb.ca/school/HEP/
762814,B67032,Sir Arthur Carty Separate School,Catholic,Elementary,519-660-2795,https://www.ldcsb.ca/school/CRT/
771139,B67032,St Anne's Separate School,Catholic,Elementary,519-675-4417,https://www.ldcsb.ca/school/ANN/
772615,B67032,St Anthony Catholic French Immersion School,Catholic,Elementary,519-660-2777,https://www.ldcsb.ca/school/ANT/
777633,B67032,St Bernadette Separate School,Catholic,Elementary,519-675-4418,https://www.ldcsb.ca/school/BER/
781266,B67032,St Catherine of Siena Elementary School,Catholic,Elementary,519-675-4437,https://www.ldcsb.ca/school/CAT/
782440,B67032,St Charles Separate School,Catholic,Elementary,519-660-2778,https://www.ldcsb.ca/school/CHA/
785911,B67032,St David Separate School,Catholic,Elementary,519-660-2779,https://www.ldcsb.ca/school/DAV/
790583,B67032,St Francis School,Catholic,Elementary,519-660-2780,https://www.ldcsb.ca/school/FRL/
794279,B67032,St George Separate School,Catholic,Elementary,519-660-2782,https://www.ldcsb.ca/school/GEO/
810916,B67032,St Joseph's High School,Catholic,Secondary,519-675-4434,https://www.ldcsb.ca/school/SJH/
815594,B67032,St Joseph's School,Catholic,Elementary,519-660-2783,https://www.ldcsb.ca/school/JTI/
816116,B67032,St Jude Separate School,Catholic,Elementary,519-660-2785,https://www.ldcsb.ca/school/JUL
816027,B67032,St Jude's School,Catholic,Elementary,519-660-2786,https://www.ldcsb.ca/school/JUI/
822590,B67032,St Marguerite d'Youville School,Catholic,Elementary,519-660-2787,https://www.ldcsb.ca/school/MRG/
823139,B67032,St Mark Separate School,Catholic,Elementary,519-675-4421,https://www.ldcsb.ca/school/MRK/
823910,B67032,St Martin Separate School,Catholic,Elementary,519-675-4422,https://www.ldcsb.ca/school/MRT/
825867,B67032,St Mary School,Catholic,Elementary,519-675-4423,https://www.ldcsb.ca/school/MAL/
831190,B67032,St Mary's High School,Catholic,Secondary,519-675-4435,https://www.ldcsb.ca/school/SMH/
824437,B67032,St Mary's Separate School,Catholic,Elementary,519-660-2788,https://www.ldcsb.ca/school/MWL/
832758,B67032,St Michael Separate School,Catholic,Elementary,519-675-4424,https://www.ldcsb.ca/school/MIL/
835129,B67032,St Michael's School,Catholic,Elementary,519-675-4425,https://www.ldcsb.ca/school/MIW/
836915,B67032,St Patrick Separate School,Catholic,Elementary,519-660-2789,https://www.ldcsb.ca/school/PAL/
838608,B67032,St Patrick's School,Catholic,Elementary,519-675-4426,https://www.ldcsb.ca/school/PAW/
841463,B67032,St Paul Separate School,Catholic,Elementary,519-660-2790,https://www.ldcsb.ca/school/PLL/
847186,B67032,St Pius X Separate School,Catholic,Elementary,519-675-4427,https://www.ldcsb.ca/school/PIU/
850179,B67032,St Sebastian Separate School,Catholic,Elementary,519-660-2791,https://www.ldcsb.ca/school/SEB/
729140,B67032,St Theresa Separate School,Catholic,Elementary,519-660-2792,https://www.ldcsb.ca/school/THE/
854280,B67032,St Thomas Aquinas Secondary School,Catholic,Secondary,519-660-2798,www.ldcsb.ca/school/STA
855898,B67032,St Thomas More Separate School,Catholic,Elementary,519-660-2793,https://www.ldcsb.ca/school/THO/
857840,B67032,St Vincent de Paul Separate School,Catholic,Elementary,519-660-2794,https://www.ldcsb.ca/school/VIN/
763602,B67032,St. Andre Bessette Secondary School,Catholic,Secondary,519-675-4717,www.ldcsb.ca/school/SAB
874085,B67032,St. Anne's Separate School,Catholic,Elementary,519-675-4428,https://www.ldcsb.ca/school/ANS/
806137,B67032,St. John French Immersion School,Catholic,Elementary,519-675-4420,https://www.ldcsb.ca/school/JHN/
690066,B67032,St. Kateri Separate School,Catholic,Elementary,519-675-4410,https://www.ldcsb.ca/school/KAT/
798986,B67032,St. Nicholas Senior Separate School,Catholic,Elementary,519-675-4409,www.ldcsb.ca/school/NIC
723673,B67032,St. Rose of Lima Separate School,Catholic,Elementary,519-660-2771,https://www.ldcsb.ca/school/VAN/
371742,B15199,Ministik Public School,Public,Elementary,705-658-4535,www.mfidsab.ca
372005,B15202,Moosonee Public School,Public,Elementary,705-336-2365,http://moosoneepublic.ca/
266063,B28037,Alliance French Immersion Public School,Public,Elementary,705-475-2326,http://www.nearnorthschools.ca/alliance/
943630,B28037,Almaguin Highlands Secondary School,Public,Secondary,705-472-5563,http://www.nearnorthschools.ca/almaguin/
020540,B28037,Argyle Public School,Public,Elementary,705-475-2316,http://www.nearnorthschools.ca/argyle/
063568,B28037,Britt Public School,Public,Elementary,705-383-2292,http://www.nearnorthschools.ca/britt/
040331,B28037,Chippewa Intermediate School,Public,Elementary,705-475-2341,http://www.nearnorthschools.ca/chippewa/
901385,B28037,Chippewa Secondary School,Public,Secondary,705-475-2341,http://www.nearnorthschools.ca/chippewa/
156728,B28037,E T Carmichael Public School,Public,Elementary,705-472-5502,http://www.nearnorthschools.ca/et-carmichael/
156981,B28037,E W Norman Public School,Public,Elementary,705-472-5534,http://www.nearnorthschools.ca/ew-norman/
190411,B28037,Evergreen Heights Education Centre,Public,Elementary,705-636-5955,http://www.nearnorthschools.ca/evergreen-heights/
925179,B28037,F J McElligott Secondary School,Public,Secondary,705-472-5720,http://www.nearnorthschools.ca/fj-mcelligott/
088309,B28037,F.J. McElligott Intermediate School,Public,Elementary,705-472-5720,http://www.nearnorthschools.ca/fj-mcelligott/
196169,B28037,Ferris Glen Public School,Public,Elementary,705-475-2323,http://www.nearnorthschools.ca/ferris-glen/
271128,B28037,Humphrey Central Public School,Public,Elementary,705-732-4801,http://www.nearnorthschools.ca/humphrey/
070246,B28037,Land of Lakes Elementary School,Public,Elementary,705-475-2324,http://www.nearnorthschools.ca/land-of-lakes/
076074,B28037,M T Davidson Public School,Public,Elementary,705-472-5970,http://www.nearnorthschools.ca/mt-davidson/
328278,B28037,Mactier Public School,Public,Elementary,705-375-2720,http://www.nearnorthschools.ca/mactier/
328588,B28037,Magnetawan Central Public School,Public,Elementary,705-387-3939,http://www.nearnorthschools.ca/magnetawan/
328592,B28037,Maple View Public School,Public,Elementary,,
505820,B28037,Mapleridge Public School,Public,Elementary,705-472-5751,http://www.nearnorthschools.ca/mapleridge/
348732,B28037,Mattawa District Public School,Public,Elementary,705-472-5241,http://www.nearnorthschools.ca/mattawa/
351202,B28037,McDougall Public School,Public,Elementary,705-746-5904,http://www.nearnorthschools.ca/mcdougall/
400475,B28037,Nobel Public School,Public,Elementary,705-342-5251,http://www.nearnorthschools.ca/nobel/
946109,B28037,Northern Secondary School,Public,Secondary,705-472-5322,http://www.nearnorthschools.ca/northern/
934275,B28037,Parry Sound High School,Public,Secondary,705-773-7979,http://www.nearnorthschools.ca/parry-sound/
437329,B28037,Parry Sound Intermediate School School,Public,Elementary,705-773-7979,http://www.nearnorthschools.ca/parry-sound/
420428,B28037,Parry Sound Public School School,Public,Elementary,705-773-7985,https://www.nearnorthschools.ca/parry-sound-public/
441945,B28037,Phelps Central School,Public,Elementary,705-472-5567,http://www.nearnorthschools.ca/phelps/
514187,B28037,Silver Birches Elementary School,Public,Elementary,705-475-2322,http://www.nearnorthschools.ca/silver-birches/
523712,B28037,South River Public School,Public,Elementary,705-475-2325,http://www.nearnorthschools.ca/south-river/
385263,B28037,South Shore Education Centre,Public,Elementary,705-475-2317,http://www.nearnorthschools.ca/south-shore/
542172,B28037,Sundridge Centennial Public School,Public,Elementary,705-472-5101,http://www.nearnorthschools.ca/sundridge-centennial/
543993,B28037,Sunset Park Public School,Public,Elementary,705-475-2330,http://www.nearnorthschools.ca/sunset-park/
577537,B28037,Vincent Massey Public School,Public,Elementary,705-475-2340,http://www.nearnorthschools.ca/vincent-massey/
214588,B28037,West Ferris Intermediate,Public,Elementary,705-495-2333,http://www.nearnorthschools.ca/west-ferris/
951463,B28037,West Ferris Secondary School,Public,Secondary,705-475-2333,http://www.nearnorthschools.ca/west-ferris/
536326,B28037,White Woods Public School,Public,Elementary,705-472-5224,http://www.nearnorthschools.ca/white-woods/
605220,B28037,Whitestone Lake Central School,Public,Elementary,705-389-2590,http://www.nearnorthschools.ca/whitestone-lake/
317124,B28037,Woodland Public School,Public,Elementary,705-475-2321,https://www.nearnorthschools.ca/woodland/
686042,B67156,Alexander Kuska KSG Catholic Elementary School,Catholic,Elementary,905-735-4471,http://portal.niagaracatholic.ca/elementary/alexanderkuska/
688320,B67156,Assumption Catholic Elementary School,Catholic,Elementary,905-935-5281,http://portal.niagaracatholic.ca/elementary/assumption/
690791,B67156,Blessed Trinity Catholic Secondary School,Catholic,Secondary,905-945-6706,http://www.blessedtrinitycss.ca/
693910,B67156,Canadian Martyrs Catholic Elementary School,Catholic,Elementary,905-934-9972,http://portal.niagaracatholic.ca/elementary/canadianmartyrs/
703796,B67156,Denis Morris Catholic High School,Catholic,Secondary,905-684-8731,http://www.denismorris.ca/
706655,B67156,Father Hennepin Catholic Elementary School,Catholic,Elementary,905-354-4469,http://portal.niagaracatholic.ca/elementary/fatherhennepin/
715247,B67156,Holy Cross Catholic Secondary School,Catholic,Secondary,905-937-6446,http://www.holycrossraiders.com/
718092,B67156,Holy Name Catholic Elementary School,Catholic,Elementary,905-732-4992,http://portal.niagaracatholic.ca/elementary/holyname/
726087,B67156,Lakeshore Catholic High School,Catholic,Secondary,905-835-2451,http://www.lakeshorecatholic.ca/
728098,B67156,Loretto Catholic Elementary School,Catholic,Elementary,905-356-4175,http://portal.niagaracatholic.ca/elementary/lorettocatholic/
730831,B67156,Mary Ward Catholic Elementary School,Catholic,Elementary,905-354-9221,http://portal.niagaracatholic.ca/elementary/maryward/
737720,B67156,Notre Dame Catholic Elementary School,Catholic,Elementary,905-358-3861,http://portal.niagaracatholic.ca/elementary/notredame/
740195,B67156,Notre Dame College School,Catholic,Secondary,905-788-3060,http://notredamewelland.com/Home
742155,B67156,Our Lady of Fatima Catholic Elementary School,Catholic,Elementary,905-945-5500,http://portal.niagaracatholic.ca/elementary/ourladyoffatima-grimsby/
743577,B67156,Our Lady of Fatima Catholic Elementary School,Catholic,Elementary,905-935-4343,http://portal.niagaracatholic.ca/elementary/ourladyoffatima-stcatharines/
694304,B67156,Our Lady of Mount Carmel Catholic Elementary School,Catholic,Elementary,905-354-2523,http://portal.niagaracatholic.ca/elementary/ourladyofmountcarmel/
749427,B67156,Our Lady of Victory Catholic Elementary School,Catholic,Elementary,905-871-3092,http://portal.niagaracatholic.ca/elementary/ourladyofvictory/
782831,B67156,Our Lady of the Holy Rosary Catholic Elementary School,Catholic,Elementary,905-227-4910,http://portal.niagaracatholic.ca/elementary/monsignor-clancy/
862642,B67156,Pope Francis Catholic Elementary School,Catholic,Elementary,905-735-8668,
699986,B67156,Pope Francis Catholic Secondary School,Catholic,Secondary,905-735-8668,
758264,B67156,Sacred Heart Catholic Elementary School,Catholic,Elementary,905-295-3732,http://portal.niagaracatholic.ca/elementary/sacredheart/
790818,B67156,Saint Francis Catholic Secondary School,Catholic,Secondary,905-646-2002,http://www.stfrancisphoenix.com/
802740,B67156,Saint Kateri Tekakwitha Catholic Secondary School,Catholic,Secondary,,
773662,B67156,Saint Michael Catholic High School,Catholic,Secondary,905-356-5155,http://www.saintmichaelmustangs.com/index.php
761710,B67156,Saint Paul Catholic High School,Catholic,Secondary,905-356-4313,http://www.spchs.ca/
766453,B67156,St Alexander Catholic Elementary School,Catholic,Elementary,905-892-3841,http://portal.niagaracatholic.ca/elementary/stalexander/
766712,B67156,St Alfred Catholic Elementary School,Catholic,Elementary,905-934-9922,http://portal.niagaracatholic.ca/elementary/stalfred/
768928,B67156,St Andrew Catholic Elementary School,Catholic,Elementary,905-732-5663,http://portal.niagaracatholic.ca/elementary/standrew/
770353,B67156,St Ann Catholic Elementary School,Catholic,Elementary,905-934-1755,http://portal.niagaracatholic.ca/elementary/stann-stcatharines/
770612,B67156,St Ann Catholic Elementary School,Catholic,Elementary,905-892-3942,http://portal.niagaracatholic.ca/elementary/st-ann-pelham/
773344,B67156,St Anthony Catholic Elementary School,Catholic,Elementary,905-685-8859,http://portal.niagaracatholic.ca/elementary/stanthony/
775550,B67156,St Augustine Catholic Elementary School,Catholic,Elementary,905-734-4659,http://portal.niagaracatholic.ca/elementary/staugustine/
783749,B67156,St Christopher Catholic Elementary School,Catholic,Elementary,905-684-3963,http://portal.niagaracatholic.ca/elementary/stchristopher/
786349,B67156,St Denis Catholic Elementary School,Catholic,Elementary,905-682-4156,http://portal.niagaracatholic.ca/elementary/stdenis/
787906,B67156,St Edward Catholic Elementary School,Catholic,Elementary,905-562-5531,http://portal.niagaracatholic.ca/elementary/stedward/
789330,B67156,St Elizabeth Catholic Elementary School,Catholic,Elementary,905-899-3041,http://portal.niagaracatholic.ca/elementary/st-elizabeth/
793752,B67156,St Gabriel Lalemant Catholic Elementary School,Catholic,Elementary,905-354-5422,http://portal.niagaracatholic.ca/elementary/stgabriellalemant/
744743,B67156,St George Catholic Elementary School,Catholic,Elementary,905-894-3670,http://portal.niagaracatholic.ca/elementary/st-george/
799211,B67156,St James Catholic Elementary School,Catholic,Elementary,905-934-3112,http://portal.niagaracatholic.ca/elementary/stjames/
715166,B67156,St John Bosco Catholic Elementary School,Catholic,Elementary,905-835-1930,http://portal.niagaracatholic.ca/elementary/st-john-bosco/
803766,B67156,St John Catholic Elementary School,Catholic,Elementary,905-945-5331,http://portal.niagaracatholic.ca/elementary/stjohn/
694177,B67156,St John Henry Newman Catholic Elementary School,Catholic,Elementary,905-354-9033,http://portal.niagaracatholic.ca/elementary/cardinalnewman/
808709,B67156,St Joseph Catholic Elementary School,Catholic,Elementary,905-945-4955,http://portal.niagaracatholic.ca/elementary/stjoseph-grimsby/
809098,B67156,St Joseph Catholic Elementary School,Catholic,Elementary,905-382-3822,http://portal.niagaracatholic.ca/elementary/stjoseph-forterie/
815222,B67156,St Kateri Tekakwitha Catholic Elementary School,Catholic,Elementary,,
816892,B67156,St Kevin Catholic Elementary School,Catholic,Elementary,905-734-7709,http://portal.niagaracatholic.ca/elementary/stkevin/
823112,B67156,St Mark Catholic Elementary School,Catholic,Elementary,905-563-9191,http://portal.niagaracatholic.ca/elementary/stmark/
823783,B67156,St Martin Catholic Elementary School,Catholic,Elementary,905-957-3032,http://portal.niagaracatholic.ca/elementary/stmartin/
826120,B67156,St Mary Catholic Elementary School,Catholic,Elementary,905-354-7744,http://portal.niagaracatholic.ca/elementary/stmary-niagarafalls/
827819,B67156,St Mary Catholic Elementary School,Catholic,Elementary,905-734-7326,http://portal.niagaracatholic.ca/elementary/stmary-welland/
832880,B67156,St Michael Catholic Elementary School,Catholic,Elementary,905-684-1051,http://portal.niagaracatholic.ca/elementary/stmichael/
836001,B67156,St Nicholas Catholic Elementary School,Catholic,Elementary,905-685-7764,http://portal.niagaracatholic.ca/elementary/stnicholas/
837563,B67156,St Patrick Catholic Elementary School,Catholic,Elementary,905-354-6631,http://portal.niagaracatholic.ca/elementary/stpatrick-niagarafalls/
838993,B67156,St Patrick Catholic Elementary School,Catholic,Elementary,905-835-1091,http://portal.niagaracatholic.ca/elementary/st-patrick-port-colborne/
844322,B67156,St Peter Catholic Elementary School,Catholic,Elementary,905-984-3040,http://portal.niagaracatholic.ca/elementary/stpeter/
846147,B67156,St Philomena Catholic Elementary School,Catholic,Elementary,905-871-1842,http://portal.niagaracatholic.ca/elementary/stphilomena/
688784,B67156,St Teresa of Calcutta Catholic Elementary School,Catholic,Elementary,905-682-6862,http://portal.niagaracatholic.ca/elementary/motherteresa/
852910,B67156,St Theresa Catholic Elementary School,Catholic,Elementary,905-682-0244,http://portal.niagaracatholic.ca/elementary/sttheresa/
744352,B67156,St Therese Catholic Elementary School,Catholic,Elementary,905-835-8082,http://portal.niagaracatholic.ca/elementary/st-therese/
736465,B67156,St Vincent de Paul Catholic Elementary School,Catholic,Elementary,905-356-7505,http://portal.niagaracatholic.ca/elementary/stvincentdepaul/
384801,B80004,Niagara Peninsula Children's Centre School,Hospital,Elementary,905-688-3550,http://www.npcc.on.ca/
724467,B29017,Holy Cross Catholic School,Catholic,Elementary,705-472-6380,http://hcc.npsc.ca/
733172,B29017,Mother St Bride School,Catholic,Elementary,705-472-1524,http://msb.npc.ca/
743054,B29017,Our Lady of Fatima Separate School,Catholic,Elementary,705-472-7280,http://olf.npsc.ca/
748250,B29017,Our Lady of Sorrows Separate School,Catholic,Elementary,705-753-2590,http://ols.npsc.ca/
766585,B29017,St Alexander Separate School,Catholic,Elementary,705-472-9141,http://sta.npsc.ca/
790176,B29017,St Francis Separate School,Catholic,Elementary,705-472-8798,http://stf.npsc.ca/
795798,B29017,St Gregory Separate School,Catholic,Elementary,705-724-3482,http://stg.npsc.ca/
797391,B29017,St Hubert Separate School,Catholic,Elementary,705-472-2770,http://sth.npsc.ca/
763659,B29017,St Joseph-Scollard Hall Secondary School,Catholic,Secondary,705-494-8600,http://sjsh.npsc.ca
754625,B29017,St Theresa School,Catholic,Elementary,705-752-4407,http://thr.npsc.ca/
857580,B29017,St Victor Separate School,Catholic,Elementary,705-744-5860,http://svi.npsc.ca/
810002,B29017,St. Luke Separate School,Catholic,Elementary,705-472-6690,http://stl.npsc.ca/
815462,B29009,Aileen Wright English Catholic School,Catholic,Elementary,705-272-4707,http://www.ncdsb.on.ca
689491,B29009,Bishop Belleau School,Catholic,Elementary,705-336-2619,http://www.ncdsb.on.ca
706027,B29009,English Catholic Central School,Catholic,Elementary,705-647-4301,http://www.ncdsb.on.ca
716537,B29009,Holy Family School,Catholic,Elementary,705-544-2397,http://www.ncdsb.on.ca
740454,B29009,O'Gorman High School,Catholic,Secondary,705-268-4501,http://www.ncdsb.on.ca
863440,B29009,O'Gorman Intermediate Catholic School,Catholic,Elementary,705-264-6555,http://www.ncdsb.on.ca
704854,B29009,Pope Francis Elementary School,Catholic,Elementary,705-264-8018,http://www.ncdsb.on.ca
758914,B29009,Sacred Heart Catholic School,Catholic,Elementary,705-567-7444,http://www.ncdsb.on.ca
862134,B29009,St. Anne English Catholic School,Catholic,Elementary,705-232-5355,http://www.ncdsb.on.ca
800902,B29009,St. Jerome School,Catholic,Elementary,705-567-5800,http://www.ncdsb.on.ca
815616,B29009,St. Joseph School,Catholic,Elementary,705-235-4622,http://www.ncdsb.on.ca
839515,B29009,St. Patrick Catholic School,Catholic,Elementary,705-679-5575,http://www.ncdsb.on.ca
840688,B29009,St. Patrick School,Catholic,Elementary,705-335-3241,http://www.ncdsb.on.ca
742309,B29041,Our Lady of the Way,Catholic,Elementary,807-483-5477,http://www.tncdsb.on.ca/school/olow/Pages/default.aspx
758000,B29041,Sacred Heart Separate School,Catholic,Elementary,807-737-1121,http://www.tncdsb.on.ca/school/sacredheart/Pages/default.aspx
813770,B29041,St Josephs Separate School,Catholic,Elementary,807-223-5227,http://www.tncdsb.on.ca/school/stjosephs/Pages/default.aspx
734252,B29041,St Mary Separate School,Catholic,Elementary,,
839388,B29041,St Patrick's School,Catholic,Elementary,807-597-2633,http://www.tncdsb.on.ca/school/stpatricks/Pages/default.aspx
724777,B67180,All Saints Catholic High School,Catholic,Secondary,613-271-4254,http://ash.ocsb.ca
724769,B67180,All Saints Catholic Intermediate School,Catholic,Elementary,613-271-4254,http://ash.ocsb.ca
688193,B67180,Assumption Catholic Elementary School,Catholic,Elementary,613-746-4822,http://asu.ocsb.ca
695963,B67180,Chapel Hill Catholic Elementary School,Catholic,Elementary,613-837-3773,http://cha.ocsb.ca
699241,B67180,Convent Glen Catholic Elementary School,Catholic,Elementary,613-824-8541,http://con.ocsb.ca
699896,B67180,Corpus Christi Catholic Elementary School,Catholic,Elementary,613-232-9743,http://cch.ocsb.ca
700193,B67180,Divine Infant Catholic Elementary School,Catholic,Elementary,613-824-1060,http://div.ocsb.ca
691100,B67180,Dr F J McDonald Catholic Elementary School,Catholic,Elementary,613-829-3878,http://dfj.ocsb.ca
707724,B67180,Frank Ryan Catholic Intermediate School,Catholic,Elementary,613-224-8833,http://rya.ocsb.ca
724530,B67180,Georges Vanier Catholic Elementary School,Catholic,Elementary,613-592-4371,http://geo.ocsb.ca
689971,B67180,Good Shepherd Elementary School,Catholic,Elementary,613-824-4531,http://goo.ocsb.ca
760013,B67180,Guardian Angels Elementary School,Catholic,Elementary,613-836-7423,http://gua.ocsb.ca
864609,B67180,Holy Cross Elementary School,Catholic,Elementary,613-733-5887,http://hcr.ocsb.ca
741485,B67180,Holy Family Elementary School,Catholic,Elementary,613-521-0475,http://hfa.ocsb.ca
711497,B67180,Holy Redeemer Elementary School,Catholic,Elementary,613-591-3256,http://red.ocsb.ca
