School Number,Board Number,School Name,School Type,School Level,Street,Municipality,City,Province,Postal Code,Fax Number,Latitude,Longitude,Phone Number,School Website
249939,B66079,Hastings Public School,Public,Elementary,25 Albert St W,Trent Hills,Hastings,Ontario,K0L1Y0,705-696-3456,44.31057,-77.9602,705-696-2432,http://hastings.kprdsb.ca/
250325,B66079,Havelock-Belmont Public School,Public,Elementary,55 Mathison St,Havelock-Belmont-Methuen,Havelock,Ontario,K0L1Z0,705-778-2121,44.43647,-77.8794,705-778-3821,http://havelockbelmont.kprdsb.ca/
255912,B66079,Highland Heights Public School,Public,Elementary,430 Highland Rd,Peterborough,Peterborough,Ontario,K9H5J7,705-742-7340,44.31817,-78.3367,705-742-8321,http://highlandheights.kprdsb.ca/
256897,B66079,Hillcrest Public School,Public,Elementary,55 Elmore St,Trent Hills,Campbellford,Ontario,K0L1L0,705-653-5567,44.30707,-77.791,705-653-1430,http://hillcrest.kprdsb.ca/
282081,B66079,James Strath Public School,Public,Elementary,1175 Brealey Dr,Peterborough,Peterborough,Ontario,K9J6X4,705-742-4575,44.28744,-78.3772,705-742-8090,http://jamesstrath.kprdsb.ca/
357120,B66079,John M James School,Public,Elementary,175 Mearns Ave,Clarington,Bowmanville,Ontario,L1C5C6,905-697-7818,43.92419,-78.6741,905-697-7817,http://johnmjames.kprdsb.ca/
449510,B66079,Kaawaate East City Public School Elementary Public School,Public,Elementary,220 Hunter Street East,Peterborough,Peterborough,Ontario,K9H1H1,705-742-7141,44.307811441,-78.305105864,705-745-2591,https://kaawaateeastcity.kprdsb.ca/
287890,B66079,Kawartha Heights Public School,Public,Elementary,11 Kawartha Heights Blvd,Peterborough,Peterborough,Ontario,K9J1N4,705-742-3515,44.27824,-78.3658,705-742-7521,http://kawarthaheights.kprdsb.ca/
288802,B66079,Keith Wightman Public School,Public,Elementary,860 St. Marys St,Peterborough,Peterborough,Ontario,K9J4H6,705-745-8145,44.28674,-78.3414,705-745-7775,http://keithwightman.kprdsb.ca/
919195,B66079,Kenner Collegiate and Vocational Institute,Public,Secondary,633 Monaghan Rd S,Peterborough,Peterborough,Ontario,K9J5J2,705-749-6238,44.27874,-78.3268,705-743-2181,http://kenner.kprdsb.ca/
289884,B66079,Kenner Intermediate School,Public,Elementary,633 Monaghan Rd S,Peterborough,Peterborough,Ontario,K9J5J2,705-749-6238,44.27845,-78.327,705-743-2181,http://kenner.kprdsb.ca/
289841,B66079,Kent Public School,Public,Elementary,150 Kent St.,Trent Hills,Campbellford,Ontario,K0L1L0,705-653-4457,44.312,-77.8014,705-653-1540,http://kent.kprdsb.ca/
402908,B66079,Lakefield District Public School,Public,Elementary,71 St Bridge,Smith-Ennismore-Lakefield,Lakefield,Ontario,K0L2H0,705-652-1866,44.41845,-78.2796,705-652-3811,http://lakefield.kprdsb.ca/
325040,B66079,Lydia Trull Public School,Public,Elementary,80 Avondale Dr,Clarington,Courtice,Ontario,L1E3C2,905-438-9649,43.90633,-78.7812,905-438-9648,http://lydiatrull.kprdsb.ca/
551333,B66079,M J Hobbs Senior Public School,Public,Elementary,2296 Taunton Rd,Clarington,Hampton,Ontario,L0B1J0,905-263-4760,43.96466,-78.744,905-263-2204,http://mjhobbs.kprdsb.ca/
241091,B66079,Merwin Greer School,Public,Elementary,457 King St E,Cobourg,Cobourg,Ontario,K9A1M7,905-372-1159,43.96534,-78.1414,905-372-3571,http://merwingreer.kprdsb.ca/
364665,B66079,Millbrook/South Cavan Public School,Public,Elementary,47 Tupper St,Cavan-Millbrook-North Monaghan,Millbrook,Ontario,L0A1G0,705-932-9013,44.1555,-78.4497,705-932-2789,http://millbrooksouthcavan.kprdsb.ca/
380733,B66079,Murray Centennial Public School,Public,Elementary,654 County Rd 40 1,Quinte West,Trenton,Ontario,K8V5P4,613-392-3660,44.09731,-77.6162,613-392-9238,http://murraycentennial.kprdsb.ca/
384747,B66079,Newcastle Public School,Public,Elementary,50 Glass Crt,Clarington,Newcastle,Ontario,L1B1M5,905-987-1642,43.91274,-78.5827,905-987-4262,http://newcastle.kprdsb.ca/
403334,B66079,North Cavan Public School,Public,Elementary,2001 County Rd 10,Cavan-Millbrook-North Monaghan,Cavan,Ontario,L0A1C0,705-944-4013,44.21827,-78.476,705-944-5366,http://northcavan.kprdsb.ca/
091987,B66079,North Hope Central Public School,Public,Elementary,3278 Ganaraska Road,Port Hope,Campbellcroft,Ontario,L0A1B0,905-797-7293,44.0546,-78.4164,905-797-2991,http://northhope.kprdsb.ca/
403350,B66079,North Shore Public School,Public,Elementary,42 Pinecrest Avenue,Otonabee-South Monaghan,Keene,Ontario,K0L2G0,705-295-6899,44.23823,-78.1819,705-295-6898,http://northshore.kprdsb.ca/
515252,B66079,Northumberland Hills Public School,Public,Elementary,2246 Spring St,Cramahe,Castleton,Ontario,K0K1M0,905-344-7078,44.09688,-77.9333,905-344-7361,http://northumberlandhills.kprdsb.ca/
931543,B66079,Norwood District High School,Public,Secondary,44 Elm St,Asphodel-Norwood,Norwood,Ontario,K0L2V0,705-639-1655,44.38282,-77.9725,705-639-5332,http://www.ndhs.ca/
412180,B66079,Norwood District Intermediate School,Public,Elementary,44 Elm St,Asphodel-Norwood,Norwood,Ontario,K0L2V0,705-639-1655,44.33961,-77.9385,705-639-5332,ttps://norwoodintermediate.kprdsb.ca\
412171,B66079,Norwood District Public School,Public,Elementary,24 Flora St,Asphodel-Norwood,Norwood,Ontario,K0L2V0,705-639-5497,44.37965,-77.9739,705-639-5382,http://norwoodpublic.kprdsb.ca/
109010,B66079,Orono Public School,Public,Elementary,171 Church St,Clarington,Orono,Ontario,L0B1M0,905-983-8194,43.97984,-78.6159,905-983-5006,http://orono.kprdsb.ca/
428680,B66079,Otonabee Valley Public School,Public,Elementary,580 River Rd S,Peterborough,Peterborough,Ontario,K9J1E7,705-745-5589,44.282,-78.3093,705-745-0651,http://otonabeevalley.kprdsb.ca/
439983,B66079,Percy Centennial Public School,Public,Elementary,129 Church St,Trent Hills,Warkworth,Ontario,K0K3K0,705-924-2758,44.2038,-77.8817,705-924-2202,http://percycentennial.kprdsb.ca/
935182,B66079,Peterborough Collegiate and Vocational School,Public,Secondary,201 McDonnel St,Peterborough,Peterborough,Ontario,K9H2W1,705-742-2177,44.30928,-78.322,705-742-0425,http://pace.kprdsb.ca/
241610,B66079,Plainville Public School,Public,Elementary,4877 Burnham St N,Hamilton,Gores Landing,Ontario,K0K2E0,905-342-5649,44.10239,-78.2275,905-342-5567,http://plainville.kprdsb.ca/
936090,B66079,Port Hope High School,Public,Secondary,130 Highland Dr,Port Hope,Port Hope,Ontario,L1A2A3,905-885-1782,43.95749,-78.3094,905-885-6346,http://porthopehigh.kprdsb.ca/
454818,B66079,Prince of Wales Public School,Public,Elementary,1211 Monaghan Rd,Peterborough,Peterborough,Ontario,K9J5L4,705-743-8762,44.29754,-78.3353,705-743-8595,http://princeofwales.kprdsb.ca/
462225,B66079,Queen Elizabeth Public School,Public,Elementary,830 Barnardo Ave,Peterborough,Peterborough,Ontario,K9J5V9,705-748-9782,44.32135,-78.3243,705-742-6331,http://queenelizabeth.kprdsb.ca/
464562,B66079,Queen Mary Public School,Public,Elementary,1445 Monaghan St,Peterborough,Peterborough,Ontario,K9J5M8,705-745-1617,44.30515,-78.3384,705-745-1353,http://queenmary.kprdsb.ca/
467529,B66079,R F Downey Public School,Public,Elementary,1221 Neptune St,Peterborough,Peterborough,Ontario,K9H7L9,705-742-1370,44.3341,-78.3329,705-742-7201,http://rfdowney.kprdsb.ca/
489298,B66079,Roger Neilson Public School,Public,Elementary,550 Erskine Ave,Peterborough,Peterborough,Ontario,K9J5T4,705-745-0544,44.27443,-78.3312,705-745-6456,http://rogerneilson.kprdsb.ca/
491632,B66079,Roseneath Centennial Public School,Public,Elementary,9047 County Rd 45,Alnwick-Haldimand,Roseneath,Ontario,K0K2X0,905-352-3944,44.18851,-78.0597,905-352-2161,http://roseneath.kprdsb.ca/
501557,B66079,S T Worden Public School,Public,Elementary,1462 Nash Rd,Clarington,Courtice,Ontario,L1E1S7,905-436-5300,43.91034,-78.8082,905-436-0715,http://stworden.kprdsb.ca/
062340,B66079,Smithfield Public School,Public,Elementary,241 Drewery Street,Brighton,Brighton,Ontario,K0K1H0,613-475-2481,44.0656,-77.6807,613-475-2301,http://smithfield.kprdsb.ca/
527661,B66079,Spring Valley Public School,Public,Elementary,212 County Rd 26,Brighton,Brighton,Ontario,K0K1H0,613-475-3186,44.06399,-77.7422,613-475-2578,http://springvalley.kprdsb.ca/
381233,B66079,Stockdale Public School,Public,Elementary,994 Will Johnson Rd,Quinte West,Frankford,Ontario,K0K2C0,613-398-8940,44.20184,-77.6307,613-398-7200,http://stockdale.kprdsb.ca/
551074,B66079,Terry Fox Public School,Public,Elementary,1065 Riddell Ave,Cobourg,Cobourg,Ontario,K9A5N4,905-372-6953,43.97775,-78.1929,905-372-8800,http://terryfox.kprdsb.ca/
110728,B66079,The Pines Senior Public School,Public,Elementary,3421 Highway 35 115 Hwy,Clarington,Newcastle,Ontario,L1B0R7,905-987-1567,43.94253,-78.6013,905-987-5232,http://thepines.kprdsb.ca/
947563,B66079,Thomas A Stewart Secondary School,Public,Secondary,1009 Armour Rd,Peterborough,Peterborough,Ontario,K9H7H2,705-749-9452,44.33092,-78.3099,705-743-5230,http://tass.kprdsb.ca/
578053,B66079,Vincent Massey Public School,Public,Elementary,10 Church St,Clarington,Bowmanville,Ontario,L1C1S3,905-623-7341,43.91227,-78.6789,905-623-5502,http://vincentmassey.kprdsb.ca/
587150,B66079,Warsaw Public School,Public,Elementary,975 English Line S Line,Douro-Dummer,Warsaw,Ontario,K0L3A0,705-652-9082,44.43586,-78.1316,705-652-8332,http://warsaw.kprdsb.ca/
587443,B66079,Waverley Public School,Public,Elementary,168 Waverley Rd,Cobourg,Bowmanville,Ontario,L1C3Y8,905-623-7643,43.902,-78.6918,905-623-4323,http://waverley.kprdsb.ca/
602361,B66079,Westmount Public School,Public,Elementary,1520 Sherwood Cres,Peterborough,Peterborough,Ontario,K9J6T8,705-742-7956,44.30454,-78.3527,705-742-7871,http://westmount.kprdsb.ca/
583403,B28045,Beaver Brae Intermediate School,Public,Elementary,1400 Ninth Street N,Kenora,Kenora,Ontario,P9N2T7,807-468-3628,49.77594,-94.4634,807-468-6401,http://beaverbrae.kpdsb.on.ca/
894230,B28045,Beaver Brae Secondary School,Public,Secondary,1400 Ninth St N,Kenora,Kenora,Ontario,P9N2T7,807-468-3628,49.77547,-94.463,807-468-6401,http://beaverbrae.kpdsb.on.ca/
122017,B28045,Crolancia Elementary School,Public,Elementary,1 Trudel Drive,Pickle Lake,Pickle Lake,Ontario,P0V3A0,807-928-2220,51.46627,-90.195,807-928-2381,http://crolancia.kpdsb.on.ca/
902748,B28045,Crolancia Secondary School,Public,Secondary,1 Trudel Drive,Pickle Lake,Pickle Lake,Ontario,P0V3A0,807-928-2220,51.46618,-90.1949,807-928-2381,http://crolancia.kpdsb.on.ca/
905283,B28045,Dryden High School,Public,Secondary,79 Casimir Ave,Dryden,Dryden,Ontario,P8N2H4,807-223-2380,49.78045,-92.8336,807-223-2316,http://dhseagles.kpdsb.on.ca/
157503,B28045,Ear Falls Public School,Public,Elementary,40 Spruce St,Ear Falls,Ear Falls,Ontario,P0V1T0,807-222-2207,50.63715,-93.2384,807-222-3777,http://earfalls.kpdsb.on.ca/
190390,B28045,Evergreen Public School,Public,Elementary,675 Brinkman Rd,Kenora,Kenora,Ontario,P9N2R5,807-468-9301,49.77279,-94.4724,807-468-8607,http://evergreen.kpdsb.on.ca/
030759,B28045,Golden Learning Centre,Public,Elementary,16 Eric Radford Way,Red Lake,Balmertown,Ontario,P0V1C0,807-735-3127,51.05949,-93.74,807-735-2088,http://glc.kpdsb.on.ca/
275026,B28045,Ignace Elementary School,Public,Elementary,194 Davy Lake Rd,Ignace,Ignace,Ontario,P0T1T0,807-934-6475,49.4098,-91.661,807-934-2212,http://ignaceschool.kpdsb.on.ca/
918113,B28045,Ignace Secondary School,Public,Secondary,194 Davy Lake Rd,Ignace,Ignace,Ontario,P0T1T0,807-934-6475,49.40956,-91.6611,807-934-2212,http://ignaceschool.kpdsb.on.ca/
288675,B28045,Keewatin Public School,Public,Elementary,330 Mill St,Kenora,Keewatin,Ontario,P0X1C0,807-547-3202,49.76,-94.561,807-547-2292,http://keewatin.kpdsb.on.ca/
296996,B28045,King George VI Public School,Public,Elementary,320 Sixth Ave S,Kenora,Kenora,Ontario,P9N2C3,807-468-6453,49.76224,-94.4819,807-468-7570,http://kinggeorge.kpdsb.on.ca/
570516,B28045,Lillian Berg Public School,Public,Elementary,1 School Lane,Machin,Vermilion Bay,Ontario,P0V2V0,807-227-2243,49.8567,-93.3849,807-227-2152,http://lillianberg.kpdsb.on.ca/
406929,B28045,New Prospect Public School,Public,Elementary,289 Wice Rd,Dryden,Dryden,Ontario,P8N3H6,807-937-2185,49.79332,-92.8375,807-223-4713,http://newprospect.kpdsb.on.ca/
486663,B28045,Open Roads Public School,Public,Elementary,20 Davis St,Dryden,Dryden,Ontario,P8N1R4,807-223-5346,49.7736,-92.8405,807-223-4418,http://openroads.kpdsb.on.ca/
937789,B28045,Red Lake District High School,Public,Secondary,60-C Highway 105,Red Lake,Red Lake,Ontario,P0V2M0,807-727-3136,51.01412,-93.818,807-727-2092,http://rldhs.kpdsb.on.ca/
478997,B28045,Red Lake Madsen Public School,Public,Elementary,201 Howey St,Red Lake,Red Lake,Ontario,P0V2M0,807-727-3019,51.01936,-93.8271,807-727-2331,http://redlakemadsen.kpdsb.on.ca/
501484,B28045,Savant Lake Public School,Public,Elementary,Lot 1 First Street,Neebing,Savant Lake,Ontario,P0V2S0,807-584-2272,50.24025,-90.7061,807-584-2242,http://savantlake.kpdsb.on.ca/
514659,B28045,Sioux Mountain Public School,Public,Elementary,89 First St,Sioux Lookout,Sioux Lookout,Ontario,P8T1B5,807-737-3486,50.10714,-91.9099,807-737-3480,http://siouxmountain.kpdsb.on.ca/
515000,B28045,Sioux Narrows Public School,Public,Elementary,5689 Hwy 71,Sioux Narrows-Nestor Falls,Sioux Narrows,Ontario,P0X1N0,807-226-1020,49.40663,-94.0938,807-226-5254,http://siouxnarrows.kpdsb.on.ca/
936871,B28045,Sioux North High School,Public,Secondary,86 Third Ave,Sioux Lookout,Sioux Lookout,Ontario,P8T1A9,807-737-1979,50.10945,-91.9115,807-737-3500,http://siouxnorth.kpdsb.on.ca/
566489,B28045,Upsala Public School,Public,Elementary,5006 Highway 17,Neebing,Upsala,Ontario,P0T2Y0,807-986-1409,49.04899,-90.4716,807-986-2352,http://upsala.kpdsb.on.ca/
569739,B28045,Valleyview Public School,Public,Elementary,1529 Valley Drive RR 2,Kenora,Kenora,Ontario,P9N4K3,807-548-1937,49.78314,-94.4457,807-548-4205,http://valleyview.kpdsb.on.ca/
805068,B29050,St John School,Catholic,Elementary,54 Discovery Rd,Red Lake,Red Lake,Ontario,P0V2M0,807-727-3017,51.01931,-93.8187,807-727-2365,https://www.kcdsb.on.ca/schools/sjs
819360,B29050,St Louis Separate School,Catholic,Elementary,420 Eighth St,Kenora,Keewatin,Ontario,P0X1C0,807-547-3081,49.75911,-94.5565,807-547-2829,https://www.kcdsb.on.ca/schools/sls
864617,B29050,St Thomas Aquinas,Catholic,Elementary,1 Poirier Dr,Kenora,Kenora,Ontario,P9N4G8,807-548-1946,49.78164,-94.4604,807-548-8282,https://www.kcdsb.on.ca/schools/sta
864471,B29050,St Thomas Aquinas High School,Catholic,Secondary,1 Poirier Dr,Kenora,Kenora,Ontario,P9N4G8,807-548-1946,49.78385,-94.4592,807-548-8282,https://www.kcdsb.on.ca/schools/sta
806436,B29050,St. John Paul II School,Catholic,Elementary,1290 Heenan Place,Kenora,Kenora,Ontario,P9N2Y8,,49.78139,-94.4603,807-467-8910,https://www.kcdsb.on.ca/schools/pjp
821225,B29050,École Ste Marguerite Bourgeoys,Catholic,Elementary,20 Gunne Cres,Kenora,Kenora,Ontario,P9N3N5,807-468-4698,49.78189,-94.4587,807-468-6618,https://www.kcdsb.on.ca/schools/smb
301825,B80039,KidsAbility School,Hospital,Elementary,500 Hallmark Dr,Waterloo,Waterloo,Ontario,N2K3P5,519-885-6222,43.49853,-80.5184,519-886-8886,http://www.kidsability.ca/en/school
011517,B28061,Algonquin Avenue Public School,Public,Elementary,160 South Algonquin Ave,Thunder Bay,Thunder Bay,Ontario,P7B4T1,807-767-5341,48.43859,-89.2505,807-767-3881,https://algonquin.lakeheadschools.ca/
021008,B28061,Armstrong Elementary School,Public,Elementary,62 Queen St,Thunder Bay,Armstrong,Ontario,P0T1A0,807-583-2315,50.29654,-89.0477,807-583-2076,https://armstrong.lakeheadschools.ca/
118575,B28061,Bernier-Stokes Elementary School,Public,Elementary,3 Maheegan Dr,Neebing,Collins,Ontario,P0V1M0,807-583-2599,50.29518,-89.4464,807-583-2593,https://www.lakeheadschools.ca/schools/
072877,B28061,C D Howe Public School,Public,Elementary,30 Wishart Cres,Thunder Bay,Thunder Bay,Ontario,P7A6G3,807-768-8805,48.44817,-89.2425,807-767-6244,https://cdhowe.lakeheadschools.ca/
130982,B28061,Claude E Garton Public School,Public,Elementary,414 Grenville Ave,Thunder Bay,Thunder Bay,Ontario,P7A1X9,807-683-8010,48.46482,-89.187,807-683-6289,https://claudegarton.lakeheadschools.ca/
127868,B28061,Crestview Public School,Public,Elementary,4452 Oliver Road RR 1,Oliver Paipoonge,Murillo,Ontario,P0T2G0,807-935-3183,48.41489,-89.4866,807-935-2692,https://crestview.lakeheadschools.ca/
116073,B28061,Ecole Elsie MacGill PS (Elementary),Public,Elementary,130 Churchill Drive,Thunder Bay,Thunder Bay,Ontario,P7C1V5,,48.38839,-89.28096,,
236136,B28061,Ecole Gron Morgan Public School,Public,Elementary,174 Marlborough Rd,Thunder Bay,Thunder Bay,Ontario,P7B4G4,807-344-3986,48.43421,-89.2457,807-345-1468,https://gronmorgan.lakeheadschools.ca/
198587,B28061,Five Mile Public School,Public,Elementary,2025 Dawson Road 12,Shuniah,Thunder Bay,Ontario,P7G2E9,807-767-5337,48.47303,-89.3095,807-767-1411,https://fivemile.lakeheadschools.ca/
222372,B28061,Gorham and Ware Community Public School,Public,Elementary,2032 Kam-Current Rd 14,Neebing,Gorham,Ontario,P7G0K5,807-767-2188,48.56337,-89.3605,807-767-4241,https://gorhamware.lakeheadschools.ca/
915424,B28061,Hammarskjold High School,Public,Secondary,80 Clarkson St S,Thunder Bay,Thunder Bay,Ontario,P7B4W8,807-767-0395,48.44287,-89.251,807-767-1631,http://www.lakeheadschools.ca/hammarskjold/
287091,B28061,Kakabeka Falls District Public School,Public,Elementary,1 Porter Street,Oliver Paipoonge,Kakabeka Falls,Ontario,P0T1W0,807-473-4695,48.40229,-89.6158,807-473-9252,https://kakabeka.lakeheadschools.ca/
300632,B28061,Kingsway Park Public School,Public,Elementary,315 Empire Ave,Thunder Bay,Thunder Bay,Ontario,P7E4R9,807-623-7790,48.37209,-89.2667,807-623-6722,https://kingsway.lakeheadschools.ca/
914410,B28061,Lakehead Alternative School,Public,Secondary,333 N High Street,Thunder Bay,Thunder Bay,Ontario,P7A5S3,,48.38323,-89.2698,807-768-7284,https://www.lakeheadschools.ca/secondary-overview/alternative-programs/
352764,B28061,McKellar Park Central Public School,Public,Elementary,301 North Archibald St,Thunder Bay,Thunder Bay,Ontario,P7C3Y3,807-623-1586,48.38739,-89.2493,807-623-2289,https://mckellar.lakeheadschools.ca/
353159,B28061,McKenzie Public School,Public,Elementary,1625 LAKESHORE DR,Shuniah,Shuniah,Ontario,P7A0T2,807-983-2638,48.52877,-88.9562,807-983-2355,https://mckenzie.lakeheadschools.ca/
409618,B28061,Nor'wester View Public School,Public,Elementary,1946 Mountain Rd,Thunder Bay,Thunder Bay,Ontario,P7J1C8,807-473-0984,48.31608,-89.3602,807-475-9231,https://norwesterview.lakeheadschools.ca/
415553,B28061,Ogden Community Public School,Public,Elementary,600 McKenzie St,Thunder Bay,Thunder Bay,Ontario,P7C4Z3,807-623-9436,48.39254,-89.2377,807-622-9513,https://ogden.lakeheadschools.ca/
509566,B28061,Sherbrooke Public School,Public,Elementary,110 Sherbrooke St,Thunder Bay,Thunder Bay,Ontario,P7C4R6,807-475-5739,48.39613,-89.2807,807-475-4226,https://sherbrooke.lakeheadschools.ca/
530344,B28061,St James Public School,Public,Elementary,243 St James St,Thunder Bay,Thunder Bay,Ontario,P7A3P1,807-345-5976,48.4419,-89.2144,807-345-7191,https://stjames.lakeheadschools.ca/
950848,B28061,Superior Collegiate and Vocational Institute,Public,Secondary,333 High Street N,Thunder Bay,Thunder Bay,Ontario,P7A5S3,,48.44946,-89.2275,807-768-7284,http://www.lakeheadschools.ca/superior
517216,B28061,Valley Central Public School,Public,Elementary,563 Candy Mountain Drive 6,Oliver Paipoonge,Slate River,Ontario,P7J0B8,807-577-2038,48.32558,-89.4683,807-473-5810,https://valley.lakeheadschools.ca/
570125,B28061,Vance Chapman Public School,Public,Elementary,1000 Huron Ave,Thunder Bay,Thunder Bay,Ontario,P7A6L4,807-345-9611,48.4609,-89.2223,807-344-8661,https://vancechapman.lakeheadschools.ca/
952087,B28061,Westgate Collegiate and Vocational Institute,Public,Secondary,707 James St S,Thunder Bay,Thunder Bay,Ontario,P7E2V9,807-473-8223,48.37316,-89.2911,807-577-4251,http://westgate.lakeheadschools.ca/
602620,B28061,Westmount Public School,Public,Elementary,120 West Begin St,Thunder Bay,Thunder Bay,Ontario,P7E5M4,807-622-4042,48.37932,-89.2793,807-623-7715,https://westmount.lakeheadschools.ca/
604992,B28061,Whitefish Valley Public School,Public,Elementary,RR 1,Gillies,Kakabeka Falls,Ontario,P0T1W0,807-475-4381,48.30463,-89.7018,807-475-3181,https://whitefish.lakeheadschools.ca/
169207,B28061,Woodcrest Public School,Public,Elementary,867 Woodcrest Road,Thunder Bay,Thunder Bay,Ontario,P7G1J2,807-346-9324,48.45083,-89.2856,807-346-9396,https://woodcrest.lakeheadschools.ca/
000078,B66036,A A Wright Public School,Public,Elementary,55 Elm St,Chatham-Kent,Wallaceburg,Ontario,N8A3M7,519-627-5237,42.59151,-82.4041,519-627-2581,http://aawright.lkdsb.net/
001244,B66036,Aberarder Central School,Public,Elementary,4804 Aberarder Line RR 2,Plympton-Wyoming,Camlachie,Ontario,N0N1E0,519-899-2507,43.05384,-82.0964,519-899-2267,http://aberarder.lkdsb.net/
891274,B66036,Alexander Mackenzie Secondary School,Public,Secondary,1257 Michigan Ave,Sarnia,Sarnia,Ontario,N7S3Y3,519-542-5294,42.99948,-82.3616,519-542-5505,http://amss.lkdsb.net/
895148,B66036,Blenheim District High School,Public,Secondary,163 Chatham St S,Chatham-Kent,Blenheim,Ontario,N0P1A0,519-676-4919,42.33356,-81.9922,519-676-5485,https://www.lkdsb.net/school/bdhs/Pages/default.aspx
055719,B66036,Bosanquet Central Public School,Public,Elementary,8766 Northville Rd RR 3,Lambton Shores,Thedford,Ontario,N0M2N0,519-296-4299,43.15662,-81.8818,519-296-4962,http://bosanquet.lkdsb.net/
061824,B66036,Bridgeview Public School,Public,Elementary,205 Albert St,Point Edward,Point Edward,Ontario,N7V1R4,519-337-3296,42.99605,-82.4101,519-337-3295,http://bridgeview.lkdsb.net
062081,B66036,Brigden School,Public,Elementary,1540 Duncan St,St. Clair,Brigden,Ontario,N0N1B0,519-864-1006,42.81509,-82.281,519-864-1125,http://brigden.lkdsb.net/
063517,B66036,Bright's Grove Public School,Public,Elementary,2612 Hamilton Rd,Sarnia,Bright's Grove,Ontario,N0N1C0,519-869-4285,43.03063,-82.2631,519-869-4284,http://brightsgrove.lkdsb.net/
066370,B66036,Brooke Central School,Public,Elementary,7989 Brooke Line RR 7,Brooke-Alvinston,Alvinston,Ontario,N0N1A0,519-847-5035,42.84186,-81.871,519-847-5218,http://brooke.lkdsb.net/
088609,B66036,Cathcart Boulevard Public School,Public,Elementary,1219 Cathcart Blvd,Sarnia,Sarnia,Ontario,N7S2H7,519-542-3774,43.01014,-82.3634,519-542-5651,http://cathcart.lkdsb.net
919322,B66036,Chatham-Kent Secondary School,Public,Secondary,285 McNaughton Ave E,Chatham-Kent,Chatham,Ontario,N7L2G7,519-352-2908,42.42163,-82.1913,519-352-2870,http://ckss.lkdsb.net/
118583,B66036,Colonel Cameron Public School,Public,Elementary,338 Cameron St,St. Clair,Corunna,Ontario,N0N1G0,519-862-4655,42.88468,-82.4384,519-862-1116,http://colonelcameron.lkdsb.net/
120715,B66036,Confederation Central School,Public,Elementary,2500 Confederation Line,Sarnia,Sarnia,Ontario,N7T7H3,519-383-7005,42.95877,-82.2697,519-383-7004,http://confederation.lkdsb.net/
135135,B66036,Dawn-Euphemia School,Public,Elementary,4587 Bentpath Line RR 4,Dawn-Euphemia,Dresden,Ontario,N0P1M0,519-692-3888,42.70801,-82.1211,519-692-4035,http://dawneuphemia.lkdsb.net/
148660,B66036,Dresden Area Central School,Public,Elementary,941 North St,Chatham-Kent,Dresden,Ontario,N0P1M0,519-683-4458,42.58557,-82.179,519-683-4457,http://dresden.lkdsb.net/
587281,B66036,East Lambton Elementary School,Public,Elementary,139 Centennial Ave,Warwick,Watford,Ontario,N0M2S0,519-876-3935,42.95159,-81.8756,519-876-2610,http://eastlambton.lkdsb.net/
185841,B66036,Errol Road Public School,Public,Elementary,989 Errol Rd E,Sarnia,Sarnia,Ontario,N7S2E6,519-542-5451,43.00288,-82.3744,519-542-9341,http://errolroad.lkdsb.net/
185833,B66036,Errol Village Public School,Public,Elementary,3568 Egremont Road,Plympton-Wyoming,Camlachie,Ontario,N0N1E0,519-869-8261,43.04304,-82.1868,519-869-4861,http://errolvillage.lkdsb.net/
226661,B66036,Grand Bend Public School,Public,Elementary,15 Gill Rd,Lambton Shores,Grand Bend,Ontario,N0M1T0,519-238-8745,43.30994,-81.7547,519-238-2091,http://grandbend.lkdsb.net/
890861,B66036,Great Lakes Secondary School,Public,Secondary,275 Wellington Street,Sarnia,Sarnia,Ontario,N7T1H1,519-336-0220,42.9682,-82.4013,519-336-6131,http://glss.lkdsb.net
230693,B66036,Gregory Drive Public School,Public,Elementary,180 Gregory Dr W,Chatham-Kent,Chatham,Ontario,N7L2L4,519-352-6897,42.42034,-82.2156,519-352-6856,http://gregorydrive.lkdsb.net/
237329,B66036,H W Burgess Public School,Public,Elementary,140 Lawrence Ave,Chatham-Kent,Wallaceburg,Ontario,N8A2B3,519-627-7725,42.59704,-82.3712,519-627-3822,http://hwburgess.lkdsb.net/
243175,B66036,Hanna Memorial Public School,Public,Elementary,369 Maria St,Sarnia,Sarnia,Ontario,N7T4T7,519-344-3714,42.97531,-82.3905,519-344-7631,http://hanna.lkdsb.net/
247197,B66036,Harwich-Raleigh Public School,Public,Elementary,231 Chatham St S,Chatham-Kent,Blenheim,Ontario,N0P1A0,519-676-5482,42.33285,-81.9887,519-676-5481,http://harwichraleigh.lkdsb.net/
255394,B66036,High Park Public School,Public,Elementary,757 Kember Ave,Sarnia,Sarnia,Ontario,N7S2T3,519-332-8643,42.98221,-82.3719,519-332-0474,http://highpark.lkdsb.net/
275131,B66036,Indian Creek Road Public School,Public,Elementary,511 Indian Creek Rd W,Chatham-Kent,Chatham,Ontario,N7M0P5,519-352-3139,42.37852,-82.1814,519-352-3137,http://indiancreek.lkdsb.net/
918938,B66036,John McGregor Secondary School,Public,Secondary,300 Cecile Ave,Chatham-Kent,Chatham,Ontario,N7M2C6,519-354-2947,42.38295,-82.1742,519-354-1740,http://jmss.lkdsb.net/
